City_TD,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,67.01,96,100,6.69,BR,1644000054
1,margate,51.3813,1.3862,42.89,70,1,4.0,GB,1644000056
2,rikitea,-23.1203,-134.9692,78.46,71,9,10.63,PF,1644000000
3,hasaki,35.7333,140.8333,28.69,44,97,21.79,JP,1644000061
4,jamestown,42.097,-79.2353,21.09,62,100,3.0,US,1643999782
5,busselton,-33.65,115.3333,68.09,59,0,5.19,AU,1644000065
6,port elizabeth,-33.918,25.5701,68.09,88,100,2.3,ZA,1644000067
7,cape town,-33.9258,18.4232,70.21,63,0,8.01,ZA,1644000013
8,saint-philippe,-21.3585,55.7679,80.19,87,100,27.63,RE,1643999963
9,vostok,46.4856,135.8833,-12.24,100,100,3.11,RU,1644000074
10,beysehir,37.6773,31.7246,17.51,91,22,5.55,TR,1644000076
11,mount isa,-20.7333,139.5,71.37,40,28,10.36,AU,1644000079
12,torbay,47.6666,-52.7314,32.58,96,100,13.8,CA,1644000081
13,govindgarh,27.5,76.9833,48.76,86,0,2.51,IN,1644000083
14,ushuaia,-54.8,-68.3,53.22,54,0,13.8,AR,1644000086
15,dikson,73.5069,80.5464,-3.69,90,100,5.86,RU,1643999798
16,tuktoyaktuk,69.4541,-133.0374,-25.6,75,20,9.22,CA,1644000090
17,hermanus,-34.4187,19.2345,64.8,62,0,19.35,ZA,1644000092
18,butaritari,3.0707,172.7902,82.51,73,14,19.1,KI,1644000095
19,schertz,29.5522,-98.2697,38.89,79,40,16.11,US,1644000097
20,pundaguitan,6.3711,126.1689,80.1,77,100,16.17,PH,1644000099
21,kurayoshi,35.4333,133.8167,37.22,70,95,20.29,JP,1644000102
22,pacific grove,36.6177,-121.9166,64.42,55,0,1.99,US,1644000104
23,carnarvon,-24.8667,113.6333,80.67,57,67,12.66,AU,1644000106
24,severo-kurilsk,50.6789,156.125,27.66,90,100,3.06,RU,1644000109
25,dwarka,22.2394,68.9678,69.82,58,0,6.53,IN,1644000111
26,barranca,-10.75,-77.7667,74.44,71,22,12.03,PE,1644000113
27,mugur-aksy,50.35,90.5,-11.78,77,18,6.24,RU,1644000118
28,chuy,-33.6971,-53.4616,80.74,69,18,5.64,UY,1644000120
29,flinders,-34.5833,150.8552,66.38,75,87,8.01,AU,1644000032
30,ornskoldsvik,63.2909,18.7153,34.75,100,100,6.91,SE,1644000125
31,mahebourg,-20.4081,57.7,79.25,94,75,13.8,MU,1644000127
32,bundaberg,-24.85,152.35,68.29,77,75,5.01,AU,1644000129
33,bredasdorp,-34.5322,20.0403,64.27,59,8,10.36,ZA,1644000132
34,camopi,3.1655,-52.3158,79.5,82,99,3.4,GF,1644000134
35,college,64.8569,-147.8028,2.28,66,75,0.0,US,1644000136
36,muzhi,65.3667,64.6667,6.57,90,100,8.03,RU,1644000139
37,dudinka,69.4058,86.1778,1.62,97,99,5.95,RU,1644000141
38,nanortalik,60.1432,-45.2371,11.64,75,100,45.16,GL,1644000143
39,hobart,-42.8794,147.3294,58.26,86,100,4.61,AU,1644000051
40,leningradskiy,69.3833,178.4167,-17.66,92,40,9.42,RU,1643999872
41,sitka,57.0531,-135.33,42.69,87,100,14.97,US,1644000152
42,arraial do cabo,-22.9661,-42.0278,85.96,78,40,20.71,BR,1644000058
43,nikolskoye,59.7035,30.7861,19.29,95,72,8.21,RU,1644000159
44,komsomolskiy,40.4272,71.7189,36.82,59,0,2.3,UZ,1644000161
45,gdov,58.7406,27.8122,17.67,85,91,16.75,RU,1644000163
46,hirara,24.8,125.2833,63.05,72,100,26.6,JP,1644000165
47,ulundi,-28.3352,31.4162,67.26,96,100,6.93,ZA,1644000170
48,poum,-20.2333,164.0167,81.43,84,100,17.6,NC,1644000172
49,hilo,19.7297,-155.09,76.62,70,100,6.91,US,1644000175
50,belem de sao francisco,-8.7539,-38.9658,96.31,24,86,8.95,BR,1644000177
51,hambantota,6.1241,81.1185,77.34,94,20,2.3,LK,1644000179
52,cherskiy,68.75,161.3,-34.71,99,14,3.15,RU,1644000184
53,kangaatsiaq,68.3065,-53.4641,7.68,79,100,19.8,GL,1644000186
54,puerto ayora,-0.7393,-90.3518,82.36,87,83,5.99,EC,1644000188
55,mataura,-46.1927,168.8643,51.48,98,100,1.36,NZ,1644000191
56,bethel,41.3712,-73.414,38.5,91,100,6.91,US,1644000005
57,vagur,61.4732,-6.8119,38.17,56,100,32.75,FO,1644000195
58,sivas,39.7916,37.0019,23.63,93,100,19.57,TR,1644000197
59,punta arenas,-53.15,-70.9167,57.31,41,0,17.27,CL,1644000200
60,tucumcari,35.1717,-103.725,35.94,50,0,6.91,US,1644000202
61,victoria,22.2855,114.1577,58.24,77,96,1.01,HK,1644000204
62,zhuhai,22.2769,113.5678,57.97,76,40,20.71,CN,1644000207
63,constitucion,-35.3333,-72.4167,69.44,69,16,14.12,CL,1644000209
64,pevek,69.7008,170.3133,-22.72,100,82,4.23,RU,1643999974
65,new norfolk,-42.7826,147.0587,57.92,75,49,1.79,AU,1644000194
66,vila franca do campo,37.7167,-25.4333,63.19,75,100,10.38,PT,1644000216
67,yulara,-25.2406,130.9889,64.24,59,0,6.91,AU,1644000218
68,finnsnes,69.2296,17.9811,21.16,86,99,7.63,NO,1644000220
69,airai,-8.9266,125.4092,60.12,90,99,1.86,TL,1644000225
70,zhanaozen,43.3,52.8,41.86,77,85,8.03,KZ,1644000212
71,codrington,-38.2667,141.9667,55.2,89,91,9.53,AU,1644000229
72,natagaima,3.6206,-75.0941,88.66,52,60,5.99,CO,1644000232
73,port blair,11.6667,92.75,77.04,88,40,2.3,IN,1644000236
74,port alfred,-33.5906,26.891,68.16,80,100,7.52,ZA,1644000238
75,wunsiedel,50.0333,12.0167,39.7,93,100,11.01,DE,1644000241
76,luanda,-8.8368,13.2343,78.8,73,20,9.22,AO,1643999949
77,whyalla,-33.0333,137.5833,64.29,72,74,3.44,AU,1644000193
78,north platte,41.1239,-100.7654,38.12,35,0,1.99,US,1644000247
79,avarua,-21.2078,-159.775,80.65,78,40,11.5,CK,1644000250
80,acapulco,16.8634,-99.8901,84.02,65,20,6.91,MX,1644000065
81,provideniya,64.3833,-173.3,-0.44,65,0,13.73,RU,1644000254
82,surdila-gaiseanca,45.0667,27.3333,35.67,51,31,10.11,RO,1644000259
83,glasgow,55.8652,-4.2576,38.91,83,40,17.27,GB,1643999964
84,isangel,-19.55,169.2667,76.8,94,100,15.66,VU,1644000039
85,buraydah,26.326,43.975,72.05,25,0,18.9,SA,1644000265
86,krk,45.0258,14.5731,50.67,93,100,17.94,HR,1644000267
87,ilulissat,69.2167,-51.1,17.62,53,75,16.11,GL,1643999975
88,huarmey,-10.0681,-78.1522,76.69,71,12,12.8,PE,1644000227
89,riviere-au-renard,48.9957,-64.3971,14.0,92,100,11.65,CA,1644000274
90,bacolod,10.6667,122.95,75.31,86,99,15.19,PH,1644000065
91,thompson,55.7435,-97.8558,-18.24,69,20,9.22,CA,1644000119
92,kargil,34.5667,76.1,-14.66,85,67,3.67,IN,1644000283
93,vila velha,-20.3297,-40.2925,82.35,83,75,4.0,BR,1644000033
94,cockburn town,21.4612,-71.1419,80.56,47,40,13.8,TC,1644000287
95,vaini,-21.2,-175.2,75.36,100,100,9.22,TO,1644000289
96,fortuna,40.5982,-124.1573,48.09,92,100,0.0,US,1644000122
97,coquimbo,-29.9533,-71.3436,69.96,69,0,9.55,CL,1644000059
98,donskoye,45.4552,41.9741,33.93,98,100,12.53,RU,1644000296
99,tiksi,71.6872,128.8694,-18.81,98,100,6.42,RU,1644000298
100,atuona,-9.8,-139.0333,78.19,78,29,16.22,PF,1644000303
101,dir,35.2058,71.8756,31.51,39,0,9.26,PK,1644000307
102,geraldton,-28.7667,114.6,72.01,53,0,3.44,AU,1644000201
103,touros,-5.1989,-35.4608,86.9,59,26,15.19,BR,1644000311
104,winnemucca,40.973,-117.7357,35.65,51,0,3.44,US,1644000314
105,qaanaaq,77.484,-69.3632,-4.92,64,100,9.28,GL,1644000041
106,hualmay,-11.0964,-77.6139,75.56,71,34,11.81,PE,1644000318
107,fare,-16.7,-151.0167,80.22,76,97,14.56,PF,1644000321
108,pangnirtung,66.1451,-65.7125,-16.6,76,75,17.27,CA,1644000323
109,astoria,46.1879,-123.8313,46.85,96,100,1.01,US,1644000325
110,isabela,6.7085,121.9711,77.05,88,100,7.25,PH,1644000328
111,alice springs,-23.7,133.8833,56.75,94,2,0.0,AU,1644000199
112,tasiilaq,65.6145,-37.6368,19.56,64,100,39.95,GL,1644000332
113,broome,42.2506,-75.833,23.02,76,100,1.99,US,1644000334
114,bom jesus,-9.0744,-44.3586,91.35,42,100,5.64,BR,1644000337
115,keti bandar,24.1447,67.4497,69.42,52,0,8.14,PK,1644000339
116,tuatapere,-46.1333,167.6833,51.82,83,100,3.2,NZ,1644000341
117,ukiah,39.1502,-123.2078,63.03,53,0,0.0,US,1644000344
118,perth,-31.9333,115.8333,74.66,48,0,0.0,AU,1644000088
119,villa maria,-32.4075,-63.2402,85.01,37,100,3.06,AR,1644000348
120,iqaluit,63.7506,-68.5145,-15.07,58,100,9.22,CA,1644000351
121,de aar,-30.6497,24.0123,69.03,59,2,25.64,ZA,1644000353
122,muborak,39.2553,65.1528,45.95,36,0,9.17,UZ,1644000357
123,simao,22.7886,100.9748,49.01,70,0,2.84,CN,1644000360
124,cam ranh,11.9214,109.1591,73.36,83,40,13.8,VN,1644000362
125,mar del plata,-38.0023,-57.5575,71.62,88,75,8.99,AR,1644000270
126,mandalgovi,45.7625,106.2708,3.97,75,22,7.61,MN,1644000367
127,ust-nera,64.5667,143.2,-20.9,73,60,0.67,RU,1644000303
128,san lawrenz,36.0553,14.204,57.85,82,87,5.99,MT,1644000371
129,saskylakh,71.9167,114.0833,-6.34,99,100,4.72,RU,1644000373
130,bluff,-46.6,168.3333,51.8,63,77,6.78,NZ,1644000377
131,kavieng,-2.5744,150.7967,81.77,73,100,6.46,PG,1644000279
132,parabel,58.6978,81.4825,22.42,91,100,11.99,RU,1644000381
133,mayumba,-3.432,10.6554,77.59,80,18,3.85,GA,1644000384
134,jiuquan,39.7432,98.5174,17.11,42,100,3.78,CN,1644000386
135,guane,22.2025,-84.0875,84.36,57,22,10.09,CU,1644000388
136,chifeng,42.2683,118.9636,4.62,61,0,8.99,CN,1644000391
137,bengkulu,-3.8004,102.2655,73.49,95,100,5.73,ID,1644000393
138,labrea,-7.2586,-64.7981,78.64,87,98,3.65,BR,1644000396
139,toora-khem,52.4675,96.11,-20.27,100,92,1.12,RU,1644000398
140,kisangani,0.5167,25.2,75.02,73,100,3.06,CD,1644000400
141,east london,-33.0153,27.9116,65.34,94,75,6.91,ZA,1644000403
142,luderitz,-26.6481,15.1594,70.02,69,34,12.64,NA,1644000405
143,mattru,7.6244,-11.8332,81.93,59,11,7.67,SL,1644000409
144,vardo,70.3705,31.1107,21.18,79,75,25.32,NO,1644000412
145,nadym,65.5333,72.5167,12.31,96,100,5.64,RU,1644000417
146,ribeira grande,38.5167,-28.7,61.2,77,40,14.97,PT,1644000274
147,grindavik,63.8424,-22.4338,27.07,80,75,9.22,IS,1644000421
148,yellowknife,62.456,-114.3525,-28.59,86,20,2.3,CA,1644000261
149,albany,42.6001,-73.9662,27.63,87,100,1.99,US,1644000425
150,chokurdakh,70.6333,147.9167,-30.95,100,66,1.74,RU,1644000428
151,san cristobal,7.7669,-72.225,77.18,52,94,2.33,VE,1644000430
152,lasa,46.6166,10.7002,42.26,62,3,2.19,IT,1644000432
153,vraca,43.8422,18.3955,32.72,86,0,3.0,BA,1644000435
154,khatanga,71.9667,102.5,-35.27,100,60,3.44,RU,1644000437
155,barrow,71.2906,-156.7887,-29.18,75,20,8.05,US,1644000440
156,cidreira,-30.1811,-50.2056,78.39,79,100,9.35,BR,1644000442
157,makakilo city,21.3469,-158.0858,74.19,79,0,4.61,US,1644000444
158,matara,5.9485,80.5353,74.44,87,39,3.94,LK,1644000447
159,nampula,-15.1165,39.2666,75.15,88,75,6.91,MZ,1644000449
160,qaqortoq,60.7167,-46.0333,10.9,71,20,27.49,GL,1644000451
161,husavik,66.0449,-17.3389,26.51,92,99,15.1,IS,1644000454
162,goleta,36.8181,10.305,64.4,36,20,6.91,TN,1644000456
163,ketchikan,55.3422,-131.6461,45.07,93,75,13.8,US,1644000460
164,upernavik,72.7868,-56.1549,-0.98,100,79,9.95,GL,1644000463
165,fasa,28.9383,53.6482,54.64,50,0,4.61,IR,1644000465
166,shahkot,31.0775,75.3372,45.12,91,1,3.15,IN,1644000467
167,bardiyah,31.7561,25.0865,53.51,64,12,18.68,LY,1644000472
168,kondoa,-4.9,35.7833,62.64,96,100,5.57,TZ,1644000474
169,mananjary,-21.2167,48.3333,77.05,92,100,16.8,MG,1644000477
170,moerai,-22.4333,-151.3333,78.37,77,37,16.4,PF,1644000479
171,santa rosa,14.3122,121.1114,78.85,75,90,12.97,PH,1644000379
172,guerrero negro,27.9769,-114.0611,61.5,22,0,1.39,MX,1644000375
173,burnie,-41.0667,145.9167,57.94,86,41,3.76,AU,1644000486
174,nchelenge,-9.3451,28.734,66.58,85,100,3.06,ZM,1644000492
175,liling,27.6667,113.5,35.49,85,100,3.85,CN,1644000495
176,shenjiamen,29.9576,122.298,41.67,59,3,9.48,CN,1644000390
177,mount gambier,-37.8333,140.7667,51.71,100,99,10.36,AU,1644000501
178,khash,28.2211,61.2158,52.74,20,0,1.9,IR,1644000504
179,jalu,29.0331,21.5482,55.24,53,0,7.38,LY,1644000506
180,bam,29.106,58.357,58.32,24,0,2.46,IR,1644000508
181,westport,41.1415,-73.3579,40.75,94,100,3.0,US,1644000511
182,cadillac,44.2519,-85.4012,18.16,45,0,0.0,US,1644000515
183,kuytun,54.3419,101.5036,-2.43,99,99,2.59,RU,1644000517
184,port hedland,-20.3167,118.5667,84.25,84,100,4.61,AU,1644000520
185,khorinsk,52.1657,109.7726,-2.38,96,100,3.11,RU,1644000522
186,huilong,31.8111,121.655,40.03,75,8,9.13,CN,1644000524
187,lyngseidet,69.5763,20.2189,21.29,76,100,23.04,NO,1644000527
188,tabou,4.423,-7.3528,80.6,78,4,7.45,CI,1644000529
189,kapaa,22.0752,-159.319,66.18,88,0,5.75,US,1644000532
190,pisco,-13.7,-76.2167,75.25,60,0,10.36,PE,1644000285
191,baykit,61.67,96.37,8.65,98,100,3.71,RU,1644000536
192,yumen,40.2833,97.2,16.54,42,100,13.35,CN,1644000538
193,tyrma,50.0833,132.1667,-16.44,100,100,1.34,RU,1644000541
194,vao,-22.6667,167.4833,80.24,86,100,16.13,NC,1644000543
195,stepnyak,52.8339,70.7803,12.69,70,100,11.1,KZ,1644000545
196,dawlatabad,36.4141,64.9053,44.85,43,1,2.17,AF,1644000548
197,asfi,32.2994,-9.2372,67.66,51,99,14.14,MA,1644000551
198,opuwo,-18.0607,13.84,73.44,43,60,11.3,NA,1644000553
199,maxixe,-23.8597,35.3472,78.62,78,20,7.0,MZ,1644000555
200,omboue,-1.5746,9.2618,78.4,81,78,4.83,GA,1644000562
201,vung tau,10.346,107.0843,77.0,79,100,15.12,VN,1644000564
202,wakkanai,45.4094,141.6739,25.05,69,100,19.08,JP,1644000569
203,zapolyarnyy,69.4154,30.8136,7.88,89,100,10.74,RU,1644000571
204,bahia blanca,-38.7196,-62.2724,69.1,74,100,15.97,AR,1644000573
205,barra do corda,-5.5,-45.25,83.71,78,100,2.62,BR,1644000579
206,naze,28.3667,129.4833,53.58,54,100,16.17,JP,1644000581
207,sabang,5.8933,95.3214,82.62,74,69,14.65,ID,1644000555
208,tanout,14.9709,8.8879,62.44,14,0,12.95,NE,1644000585
209,port lincoln,-34.7333,135.8667,63.59,84,56,14.5,AU,1644000396
210,berlevag,70.8578,29.0864,17.55,73,0,21.85,NO,1644000590
211,hay river,60.8156,-115.7999,-16.62,76,75,6.91,CA,1644000396
212,brae,60.3964,-1.353,40.91,59,100,33.62,GB,1644000594
213,ilo,-17.6394,-71.3375,72.46,68,0,13.8,PE,1644000597
214,kenai,60.5544,-151.2583,23.02,97,100,3.44,US,1644000591
215,mapiripan,2.8892,-72.1256,90.05,44,100,3.24,CO,1644000601
216,jos,9.9167,8.9,64.78,17,0,7.92,NG,1644000604
217,pierre,44.3683,-100.351,21.06,56,100,11.01,US,1644000607
218,batagay,67.6333,134.6333,-38.04,98,36,1.97,RU,1644000609
219,dongsheng,39.8161,109.9776,8.37,70,1,6.46,CN,1644000611
220,waipawa,-41.4122,175.5153,56.03,95,100,12.46,NZ,1644000614
221,barro,-6.7167,-38.8667,92.75,34,45,5.86,BR,1644000616
222,puerto quijarro,-17.7833,-57.7667,91.15,50,82,6.8,BO,1644000619
223,mae hong son,19.3003,97.9685,62.01,58,3,1.72,TH,1644000621
224,chipinge,-20.1883,32.6236,66.16,78,2,2.95,ZW,1644000623
225,tevaitoa,-16.7833,-151.5,79.83,76,71,14.61,PF,1644000628
226,mizdah,31.4451,12.9801,54.7,27,3,5.12,LY,1644000630
227,beaufort,5.3473,115.7455,78.96,94,100,2.39,MY,1644000632
228,roald,62.5833,6.1333,39.9,75,75,29.93,NO,1644000635
229,lebyazhye,55.2689,66.4947,21.13,81,100,12.8,RU,1644000637
230,sao joao da barra,-21.6403,-41.0511,84.29,84,71,18.25,BR,1644000639
231,katsuura,35.1333,140.3,41.18,66,4,21.47,JP,1644000642
232,russell,32.3502,-85.1999,49.15,92,100,6.91,US,1644000644
233,el cano,8.4,-80.5167,90.36,41,10,15.88,PA,1644000649
234,shu,43.5983,73.7614,31.3,64,0,5.37,KZ,1644000651
235,atherton,53.5237,-2.4935,42.42,80,62,4.0,GB,1644000654
236,cartagena,10.3997,-75.5144,89.22,58,20,14.97,CO,1644000495
237,kodiak,57.79,-152.4072,31.51,86,100,0.0,US,1644000660
238,najran,17.4924,44.1277,72.25,50,8,6.26,SA,1644000662
239,kahului,20.8947,-156.47,75.85,70,0,4.61,US,1644000526
240,hithadhoo,-0.6,73.0833,81.99,73,20,10.09,MV,1644000668
241,lompoc,34.6391,-120.4579,69.12,46,20,1.99,US,1644000670
242,seddon,-37.8068,144.8916,59.79,87,75,6.91,AU,1644000672
243,sorong,-0.8833,131.25,80.69,80,99,10.8,ID,1644000675
244,mnogovershinnyy,53.9353,139.9242,-1.95,97,100,5.93,RU,1644000679
245,faanui,-16.4833,-151.75,80.26,75,22,13.96,PF,1644000681
246,srandakan,-7.9386,110.2506,77.05,88,100,5.23,ID,1644000684
247,ponta do sol,32.6667,-17.1,68.0,82,100,1.19,PT,1644000686
248,sawtell,-30.3833,153.1,62.92,82,100,14.97,AU,1644000690
249,rocha,-34.4833,-54.3333,78.53,66,29,12.08,UY,1644000693
250,gabrovo,42.8747,25.3342,31.96,77,73,3.15,BG,1644000695
251,mayo,38.8876,-76.5119,44.17,94,100,5.01,US,1644000698
252,barrhead,55.7992,-4.3929,38.73,84,40,3.0,GB,1644000700
253,japura,-0.3167,102.35,72.21,98,66,0.63,ID,1644000705
254,san patricio,28.017,-97.5169,38.12,49,100,17.72,US,1644000707
255,inuvik,68.3499,-133.7218,-22.79,76,20,3.44,CA,1644000712
256,gao,16.6362,1.637,68.22,11,0,12.41,ML,1644000714
257,hamilton,39.1834,-84.5333,26.08,85,100,1.01,US,1644000702
258,kosaya gora,54.119,37.5446,7.54,99,74,6.04,RU,1644000718
259,shelburne,44.0787,-80.2041,13.23,77,100,6.55,CA,1644000721
260,necochea,-38.5473,-58.7368,70.03,56,100,15.1,AR,1644000723
261,daru,-9.0763,143.2092,77.36,90,100,10.0,PG,1644000725
262,nabire,-3.3667,135.4833,75.97,91,100,1.41,ID,1644000728
263,trelew,-43.249,-65.3051,64.67,68,40,26.46,AR,1644000730
264,kotar,24.7167,80.9833,54.12,52,0,1.43,IN,1644000732
265,nemuro,43.3236,145.575,20.53,80,10,11.16,JP,1644000735
266,kaitangata,-46.2817,169.8464,51.93,69,60,4.74,NZ,1644000737
267,harper,4.375,-7.7169,80.78,78,59,8.1,LR,1644000742
268,saint-francois,46.4154,3.9054,47.64,81,100,4.61,FR,1644000744
269,esperance,-33.8667,121.9,64.24,76,1,15.14,AU,1644000746
270,port keats,-14.25,129.55,79.66,84,98,5.66,AU,1644000462
271,ancud,-41.8697,-73.8203,69.22,69,60,9.86,CL,1644000751
272,sokoni,-6.4333,39.55,82.69,81,100,12.5,TZ,1644000753
273,tromso,69.6496,18.957,21.22,63,75,20.71,NO,1644000755
274,port-gentil,-0.7193,8.7815,80.56,83,20,4.61,GA,1644000758
275,dunedin,-45.8742,170.5036,52.81,86,100,8.01,NZ,1644000760
276,ryotsu,38.0833,138.4333,31.01,86,100,14.58,JP,1644000762
277,sozimskiy,59.7418,52.2482,10.45,96,100,5.41,RU,1644000764
